iter	Passed	Remaining
878	1053	144
879	1054	143
880	1054	142
881	1055	141
882	1056	140
883	1060	139
884	1061	137
885	1062	136
886	1063	135
887	1064	134
888	1065	133
889	1066	131
890	1067	130
891	1068	129
892	1069	128
893	1070	126
894	1071	125
895	1072	124
896	1073	123
897	1074	121
898	1075	120
899	1076	119
900	1077	118
901	1078	117
902	1079	115
903	1080	114
904	1081	113
905	1082	112
906	1082	111
907	1083	109
908	1084	108
909	1085	107
910	1086	106
911	1087	104
912	1088	103
913	1089	102
914	1090	101
915	1091	100
916	1092	98
917	1093	97
918	1094	96
919	1095	95
920	1096	94
921	1097	92
922	1098	91
923	1099	90
924	1099	89
925	1100	87
926	1101	86
927	1102	85
928	1103	84
929	1104	83
930	1105	81
931	1106	80
932	1107	79
933	1108	78
934	1109	77
935	1111	75
936	1112	74
937	1113	73
938	1114	72
939	1115	71
940	1116	69
941	1117	68
942	1118	67
943	1119	66
944	1120	65
945	1121	64
946	1122	62
947	1123	61
948	1124	60
949	1126	59
950	1127	58
951	1128	56
952	1129	55
953	1130	54
954	1131	53
955	1132	52
956	1133	50
957	1134	49
958	1135	48
959	1136	47
960	1137	46
961	1138	44
962	1139	43
963	1140	42
964	1142	41
965	1143	40
966	1144	39
967	1145	37
968	1146	36
969	1147	35
970	1148	34
971	1149	33
972	1150	31
973	1152	30
974	1153	29
975	1154	28
976	1155	27
977	1156	26
978	1157	24
979	1158	23
980	1159	22
981	1161	21
982	1162	20
983	1163	18
984	1165	17
985	1166	16
986	1167	15
987	1168	14
988	1169	13
989	1171	11
990	1172	10
991	1173	9
992	1174	8
993	1176	7
994	1177	5
995	1179	4
996	1180	3
997	1181	2
998	1182	1
999	1183	0
